D_M,D_F,CI_M,CI_F,CID_M,CID_F,AD1,AD2,AD3,AD4
0.000722,0.000661,0.00277,0.00338,0,0,0.0004,0.000078,0.000054,0.000018
0.000603,0.000536,0.00232,0.00293,0,0,0.0004,0.000078,0.000054,0.000018
0.000499,0.000424,0.00206,0.00266,0,0,0.0004,0.000078,0.000054,0.000018
0.000416,0.000333,0.00187,0.00244,0,0,0.0004,0.000078,0.000054,0.000018
0.000358,0.000267,0.00172,0.00224,0,0,0.0004,0.000078,0.000054,0.000018
0.000323,0.000224,0.00159,0.0021,0,0,0.0004,0.000078,0.000054,0.000018
0.000309,0.000201,0.0015,0.00198,0,0,0.0004,0.000078,0.000054,0.000018
0.000308,0.000189,0.00143,0.00189,0,0,0.0004,0.000078,0.000054,0.000018
0.000311,0.000181,0.00138,0.00181,0,0,0.0004,0.000078,0.000054,0.000018
0.000312,0.000175,0.00135,0.00176,0,0,0.0004,0.000078,0.000054,0.000018
0.000312,0.000169,0.00133,0.00173,0,0,0.0004,0.000078,0.000054,0.000018
0.000312,0.000165,0.00133,0.00171,0,0,0.0004,0.000078,0.000054,0.000018
0.000313,0.000165,0.00134,0.00171,0,0,0.0004,0.000078,0.000054,0.000018
0.00032,0.000169,0.00136,0.00171,0,0,0.0004,0.000078,0.000054,0.000018
0.000336,0.000179,0.00138,0.00172,0,0,0.0004,0.000078,0.000054,0.000018
0.000364,0.000192,0.0014,0.00173,0,0,0.0004,0.000078,0.000054,0.000018
0.000404,0.000208,0.00141,0.00176,0,0,0.0004,0.000078,0.000054,0.000018
0.000455,0.000226,0.00141,0.00178,0,0,0.0004,0.000078,0.000054,0.000018
0.000513,0.000245,0.00141,0.00182,0,0,0.0004,0.000078,0.000054,0.000018
0.000572,0.000264,0.00057,0.00095,0,0,0.0004,0.000078,0.000054,0.000018
0.000621,0.000283,0.00057,0.00098,0,0,0.0004,0.000078,0.000054,0.000018
0.000661,0.0003,0.0006,0.00101,0,0,0.0004,0.000078,0.000054,0.000018
0.000692,0.000315,0.00063,0.00105,0,0,0.0004,0.000078,0.000054,0.000018
0.000716,0.000328,0.00068,0.0011,0,0,0.0004,0.000078,0.000054,0.000018
0.000738,0.000338,0.00072,0.00116,0,0,0.0004,0.000078,0.000054,0.000018
0.000759,0.000347,0.00078,0.00123,0,0,0.0004,0.000078,0.000054,0.000018
0.000779,0.000355,0.00084,0.00129,0,0,0.0004,0.000078,0.000054,0.000018
0.000795,0.000362,0.00092,0.00137,0,0,0.0004,0.000078,0.000054,0.000018
0.000815,0.000372,0.00099,0.00144,0,0,0.0004,0.000078,0.000054,0.000018
0.000842,0.000386,0.00108,0.00153,0,0,0.0004,0.000078,0.000054,0.000018
0.000881,0.000406,0.00116,0.00161,0,0,0.0004,0.000078,0.000054,0.000018
0.000932,0.000432,0.00125,0.00174,0,0,0.0004,0.000078,0.000054,0.000018
0.000994,0.000465,0.00135,0.00189,0,0,0.0004,0.000078,0.000054,0.000018
0.001055,0.000496,0.00146,0.00204,0,0,0.0004,0.000078,0.000054,0.000018
0.001121,0.000528,0.00158,0.00222,0,0,0.0004,0.000078,0.000054,0.000018
0.001194,0.000563,0.00171,0.0024,0,0,0.0004,0.000078,0.000054,0.000018
0.001275,0.000601,0.00188,0.00261,0,0,0.0004,0.000078,0.000054,0.000018
0.001367,0.000646,0.00207,0.00285,0,0,0.0004,0.000078,0.000054,0.000018
0.001472,0.000699,0.00231,0.00311,0,0,0.0004,0.000078,0.000054,0.000018
0.001589,0.000761,0.0026,0.00341,0,0,0.0004,0.000078,0.000054,0.000018
0.001715,0.000828,0.00293,0.00371,0,0,0.0004,0.000078,0.000054,0.000018
